age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
27.0,Private,156266.0,HS-grad,9.0,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,20.0,United-States,0
19.0,Private,185695.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,0
21.0,Private,157893.0,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Female,0.0,0.0,40.0,United-States,0
36.0,Private,91275.0,Some-college,10.0,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,0
23.0,Private,214542.0,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,40.0,United-States,0
31.0,Private,130021.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,United-States,0
35.0,Private,164526.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Yugoslavia,1
46.0,Local-gov,160187.0,Masters,14.0,Widowed,Exec-managerial,Unmarried,Black,Female,0.0,0.0,35.0,United-States,0
35.0,Private,182074.0,HS-grad,9.0,Divorced,Handlers-cleaners,Own-child,White,Male,0.0,0.0,35.0,United-States,0
28.0,Private,416577.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,2829.0,0.0,40.0,United-States,0
34.0,Private,158420.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,0
24.0,Private,399449.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0
36.0,Private,108103.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,0
27.0,Private,81540.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
24.0,State-gov,43475.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
25.0,Self-emp-not-inc,182809.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,1
21.0,Private,83580.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,4.0,United-States,0
29.0,Private,244395.0,11th,7.0,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
59.0,Private,232672.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
73.0,Private,123160.0,10th,6.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,10.0,United-States,0
36.0,Private,148581.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.0,United-States,1
34.0,Private,156464.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,85.0,England,1
30.0,nan,147215.0,Some-college,10.0,Never-married,nan,Own-child,White,Female,0.0,0.0,30.0,United-States,0
28.0,Private,33895.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
51.0,Self-emp-not-inc,99185.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
28.0,Local-gov,154863.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,Trinadad&Tobago,1
76.0,Private,70697.0,7th-8th,4.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,25.0,United-States,0
49.0,Self-emp-not-inc,181547.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,30.0,Columbia,0
32.0,Private,175856.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,1902.0,40.0,United-States,1
25.0,Private,268222.0,HS-grad,9.0,Separated,Handlers-cleaners,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
47.0,Private,214702.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,37.0,Puerto-Rico,0
43.0,Self-emp-inc,240504.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,1
38.0,Private,270985.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,50.0,United-States,0
39.0,Private,127772.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,3103.0,0.0,44.0,United-States,1
45.0,Private,34419.0,Bachelors,13.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,United-States,0
33.0,Private,184016.0,HS-grad,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
68.0,nan,196782.0,7th-8th,4.0,Married-civ-spouse,nan,Husband,White,Male,0.0,0.0,30.0,United-States,0
57.0,Private,142714.0,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,38.0,United-States,0
32.0,Private,230484.0,7th-8th,4.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,35.0,United-States,0
45.0,Self-emp-not-inc,201080.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1
63.0,Private,196725.0,HS-grad,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States,0
55.0,Self-emp-not-inc,157486.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,40.0,United-States,1
18.0,Private,276540.0,12th,8.0,Never-married,Sales,Own-child,Black,Female,0.0,0.0,15.0,United-States,0
37.0,Self-emp-not-inc,154410.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
40.0,Private,26892.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1
31.0,Private,379798.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1
37.0,Self-emp-inc,97986.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,68.0,United-States,0
29.0,Private,91547.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
31.0,Self-emp-inc,83748.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0.0,0.0,70.0,South,0
45.0,Local-gov,224474.0,Bachelors,13.0,Divorced,Prof-specialty,Unmarried,White,Female,4934.0,0.0,50.0,United-States,1
30.0,Private,224147.0,HS-grad,9.0,Never-married,Transport-moving,Own-child,Black,Male,0.0,0.0,40.0,United-States,0
45.0,Private,179659.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3103.0,0.0,40.0,United-States,1
30.0,Private,79712.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0.0,0.0,40.0,United-States,0
29.0,Private,53642.0,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,0
52.0,Federal-gov,168539.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,1
36.0,Private,659504.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,45.0,United-States,1
45.0,Private,80430.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
37.0,Private,302604.0,Some-college,10.0,Separated,Other-service,Other-relative,White,Female,0.0,0.0,40.0,United-States,0
30.0,Private,430283.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298.0,0.0,40.0,United-States,1
33.0,Private,188246.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65.0,United-States,1
48.0,Private,216734.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
49.0,Self-emp-not-inc,232664.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States,0
31.0,Private,91964.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
21.0,Private,231931.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,45.0,United-States,0
41.0,Private,29762.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,52.0,United-States,1
66.0,nan,210750.0,Some-college,10.0,Married-civ-spouse,nan,Husband,White,Male,0.0,0.0,50.0,United-States,0
64.0,State-gov,105748.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,0
38.0,Federal-gov,125933.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Iran,1
29.0,nan,41281.0,Bachelors,13.0,Married-spouse-absent,nan,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0
22.0,Private,148187.0,11th,7.0,Never-married,Other-service,Other-relative,White,Male,0.0,0.0,40.0,United-States,0
41.0,Private,134130.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1
40.0,Private,164663.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
50.0,Private,149770.0,Masters,14.0,Never-married,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
38.0,Private,260997.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,0
74.0,Private,161387.0,HS-grad,9.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,16.0,United-States,0
25.0,Private,362912.0,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Female,0.0,0.0,50.0,United-States,0
32.0,Self-emp-not-inc,443546.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
22.0,Private,156822.0,10th,6.0,Never-married,Sales,Not-in-family,White,Female,0.0,1762.0,25.0,United-States,0
51.0,State-gov,172022.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1
35.0,Private,196491.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0
51.0,Private,201127.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
34.0,Private,101345.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,1
47.0,Private,30840.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,1
39.0,Private,106347.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
54.0,Private,108435.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,20.0,United-States,0
25.0,Private,372728.0,Bachelors,13.0,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,24.0,Jamaica,0
63.0,Federal-gov,95680.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,18.0,United-States,1
29.0,Private,188675.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,Jamaica,1
55.0,Private,193130.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,1887.0,40.0,United-States,1
38.0,Private,129573.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,41.0,United-States,0
25.0,Private,178037.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,35.0,United-States,0
35.0,Private,29145.0,Assoc-voc,11.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
39.0,Private,191002.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,Poland,0
28.0,Private,157391.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0
33.0,Local-gov,293063.0,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Other-relative,Black,Male,0.0,0.0,40.0,nan,0
53.0,Federal-gov,173093.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0.0,1887.0,40.0,Philippines,1
38.0,Private,160035.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.0,United-States,0
52.0,Private,321959.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,Black,Male,0.0,0.0,40.0,United-States,1
45.0,Private,112305.0,Some-college,10.0,Divorced,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
46.0,State-gov,394860.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,38.0,United-States,0
24.0,Private,218678.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,0
34.0,Private,306215.0,Assoc-voc,11.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0
47.0,Private,266275.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
67.0,Private,217028.0,Masters,14.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
51.0,Private,207449.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,0
33.0,Private,132705.0,9th,5.0,Separated,Adm-clerical,Not-in-family,White,Male,0.0,0.0,48.0,United-States,0
26.0,Private,109080.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,0
38.0,Private,192930.0,HS-grad,9.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,10.0,United-States,0
28.0,Local-gov,180271.0,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,65.0,United-States,1
43.0,Private,169628.0,Bachelors,13.0,Never-married,Sales,Unmarried,Black,Female,0.0,0.0,35.0,United-States,1
68.0,Private,154897.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,30.0,United-States,0
46.0,Private,63299.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,0
45.0,Federal-gov,368947.0,Bachelors,13.0,Never-married,Protective-serv,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0
38.0,Private,29874.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
52.0,Self-emp-not-inc,217210.0,HS-grad,9.0,Widowed,Other-service,Other-relative,Black,Female,0.0,0.0,40.0,United-States,0
21.0,Local-gov,596776.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,Guatemala,0
24.0,Private,304386.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,United-States,0
32.0,Self-emp-inc,218407.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,70.0,Cuba,0
45.0,Private,155489.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,1
31.0,Private,217460.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0
24.0,Private,249351.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,0.0,40.0,United-States,0
34.0,Local-gov,143766.0,Some-college,10.0,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,40.0,United-States,0
18.0,Private,62972.0,11th,7.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,16.0,United-States,0
36.0,Private,179666.0,12th,8.0,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,0.0,40.0,United-States,0
37.0,Private,255621.0,HS-grad,9.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0
17.0,Private,239346.0,10th,6.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,18.0,United-States,0
47.0,Private,326857.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,5013.0,0.0,40.0,United-States,0
57.0,Private,136107.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,1
62.0,Local-gov,164518.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,38.0,United-States,0
23.0,Private,129583.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Female,0.0,0.0,16.0,United-States,0
35.0,Private,87556.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
74.0,Private,145463.0,1st-4th,2.0,Widowed,Priv-house-serv,Not-in-family,Black,Female,0.0,0.0,15.0,United-States,0
65.0,nan,178931.0,HS-grad,9.0,Married-civ-spouse,nan,Husband,Amer-Indian-Eskimo,Male,3818.0,0.0,40.0,United-States,0
56.0,Self-emp-inc,258883.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
33.0,Federal-gov,88913.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,0
28.0,Private,92262.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0
43.0,Private,212847.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
59.0,Private,216851.0,HS-grad,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
47.0,State-gov,187581.0,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,48.0,United-States,1
32.0,Private,288229.0,Some-college,10.0,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,40.0,Greece,0
44.0,Private,120277.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,38.0,United-States,1
40.0,Private,285787.0,Assoc-acdm,12.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1
47.0,Private,162494.0,Some-college,10.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,45.0,United-States,1
27.0,Private,278720.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,1
28.0,Private,153475.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,El-Salvador,0
42.0,Private,195124.0,7th-8th,4.0,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0.0,0.0,35.0,Puerto-Rico,0
49.0,Private,259087.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
30.0,Private,140011.0,Assoc-voc,11.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,53.0,United-States,0
55.0,Local-gov,88856.0,7th-8th,4.0,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
27.0,Self-emp-inc,153546.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,36.0,United-States,1
46.0,Private,54985.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1887.0,40.0,United-States,1
21.0,Private,57916.0,HS-grad,9.0,Separated,Farming-fishing,Own-child,White,Male,0.0,0.0,40.0,United-States,0
36.0,Private,195385.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,0
35.0,Private,150125.0,Assoc-voc,11.0,Divorced,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0
19.0,Private,27433.0,11th,7.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
34.0,Private,581071.0,HS-grad,9.0,Separated,Adm-clerical,Not-in-family,White,Male,0.0,0.0,48.0,United-States,1
33.0,Private,209101.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
49.0,nan,57665.0,Bachelors,13.0,Divorced,nan,Own-child,White,Female,0.0,0.0,40.0,United-States,0
67.0,nan,45537.0,Masters,14.0,Married-civ-spouse,nan,Husband,Black,Male,0.0,0.0,40.0,United-States,1
22.0,Private,199555.0,Some-college,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,25.0,United-States,0
25.0,Private,290528.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
51.0,Local-gov,146181.0,9th,5.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,0
33.0,Private,241885.0,Some-college,10.0,Separated,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
