longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-120.05,36.96,37.0,4.2918453,1.1201717,1092.0,4.686695,1.4267,0.523
-117.58,34.1,4.0,4.555874,1.1346705,3359.0,2.4061604,3.5186,1.278
-118.27,34.05,47.0,2.1530945,1.1693811,1406.0,4.5798044,1.3169,1.125
-117.36,34.1,33.0,5.6331363,1.0147929,1366.0,4.04142,3.6227,0.928
-117.25,32.77,32.0,4.1670103,1.0804124,973.0,2.0061855,3.18,3.625
-119.03,36.08,19.0,5.8004694,1.0117371,1040.0,2.4413145,3.25,0.806
-121.28,37.92,30.0,5.4410257,1.1794872,851.0,4.3641024,2.4412,0.616
-118.28,34.04,39.0,2.7240567,1.0212264,1857.0,4.379717,2.1696,1.534
-118.17,33.83,46.0,6.135135,0.963964,531.0,2.391892,4.3125,2.905
-121.89,37.45,15.0,4.6782274,0.9884393,1687.0,3.2504816,4.75,2.544
-117.98,33.83,17.0,4.4634466,1.2167102,2460.0,3.2114882,3.2823,2.285
-118.22,33.82,30.0,3.9160838,1.0932401,1779.0,4.146853,3.6086,1.463
-118.46,34.29,24.0,4.528395,1.0987654,3151.0,3.8901234,3.0526,1.833
-116.76,32.84,16.0,5.30609,1.125,1627.0,2.6073718,3.1196,1.872
-121.64,39.22,37.0,5.4292235,1.1324201,627.0,2.8630137,3.8611,1.0
-117.1,32.58,27.0,4.5337954,1.0242634,1889.0,3.2738302,2.3824,1.276
-121.01,38.73,7.0,6.173828,1.0214844,2957.0,2.8876953,4.7276,1.975
-122.22,37.47,28.0,3.8450613,1.0406713,3571.0,2.3053584,3.1864,2.728
-117.99,33.75,30.0,4.4473686,1.1052631,1314.0,3.1435406,3.0909,1.844
-118.3,33.88,26.0,3.7,0.94545454,807.0,2.4454546,4.0536,2.536
-122.7,38.23,47.0,5.5437665,1.0265251,1053.0,2.7931035,3.5673,3.103
-121.85,36.6,41.0,4.8878503,1.1168225,1890.0,2.9439251,2.4864,1.404
-123.2,39.14,17.0,4.06015,0.99248123,878.0,2.2005012,1.8042,1.092
-121.96,38.36,11.0,4.6224785,1.1383286,1772.0,2.5533142,2.7434,2.188
-118.14,33.94,35.0,4.929043,0.99174917,1561.0,2.5759077,4.0039,2.265
-118.44,34.16,33.0,5.1961412,1.0353698,580.0,1.8649517,4.0391,3.375
-118.4,34.17,24.0,3.7652543,1.0872881,2421.0,2.0516949,2.2652,2.692
-121.89,37.34,20.0,2.46875,1.1026785,851.0,1.8995535,0.8894,3.5
-118.77,34.26,26.0,6.491453,1.0,1825.0,3.8995726,5.6385,1.969
-119.02,35.42,36.0,5.4652405,1.1951872,1021.0,2.7299466,1.8472,0.574
-117.61,34.34,18.0,11.228448,1.9655173,1301.0,2.8038793,4.8623,1.769
-117.02,32.84,17.0,6.0711045,1.0181543,2263.0,3.4236007,5.131,1.483
-118.6,34.09,43.0,5.6405063,1.1088607,960.0,2.4303796,7.6091,4.385
-117.55,33.88,19.0,4.0524592,1.0131148,2143.0,3.5131147,2.2372,1.088
-116.71,33.75,25.0,12.517606,2.536385,1874.0,2.1995306,3.0625,1.505
-122.05,37.94,22.0,5.767123,0.969863,993.0,2.720548,4.6602,2.278
-122.02,36.97,44.0,4.273381,1.2158273,325.0,2.3381295,1.1552,2.5
-122.27,37.53,43.0,4.507874,0.9055118,586.0,2.3070867,3.5,2.674
-121.96,37.53,23.0,4.5020328,0.9654471,1278.0,2.597561,4.2955,2.188
-118.47,34.42,17.0,4.542289,1.1343284,530.0,2.636816,3.038,2.385
-118.13,33.89,29.0,4.163717,1.0870206,1723.0,2.541298,2.7121,1.655
-118.25,33.89,37.0,5.3163266,1.0867347,699.0,3.5663266,2.9643,1.032
-117.11,32.81,15.0,7.053498,1.0102881,2303.0,4.738683,2.5953,0.675
-121.33,38.0,32.0,5.061086,1.050905,2177.0,2.4626696,3.2889,0.989
-118.34,34.18,45.0,5.4609494,1.0735068,1601.0,2.451761,3.8668,2.32
-122.23,37.8,52.0,4.4714284,1.0678571,844.0,3.0142858,2.3929,1.119
-118.17,34.09,33.0,3.665826,1.0050441,3212.0,4.0504413,2.2348,1.466
-117.69,33.59,13.0,7.7030163,0.9883991,1432.0,3.3225057,7.9283,3.481
-117.13,32.69,36.0,4.320588,1.1764706,1271.0,3.7382352,1.043,0.901
-122.14,37.7,17.0,4.4333334,0.8848485,695.0,2.1060605,4.5859,1.872
-118.31,33.91,31.0,4.896194,1.1730103,874.0,3.0242214,3.8173,1.779
-118.58,34.2,37.0,5.5783134,1.0120482,826.0,3.317269,5.015,2.209
-117.26,32.95,34.0,6.092251,1.0073801,650.0,2.398524,5.6582,5.00001
-121.28,38.7,14.0,5.6136804,1.2003853,2578.0,2.4836223,3.0212,1.129
-119.12,36.29,29.0,5.0869565,1.0031056,942.0,2.9254658,2.1731,0.662
-121.35,38.61,25.0,4.3274646,1.0941901,2140.0,1.8838028,2.5511,1.341
-120.45,39.8,47.0,5.128878,1.0883055,965.0,2.3031027,1.7829,0.559
-117.69,34.11,16.0,4.9429736,1.0631365,794.0,1.617108,2.6929,1.193
-122.1,37.38,37.0,6.9798994,1.0251256,1577.0,2.641541,7.5655,5.00001
-117.13,32.76,27.0,3.433735,1.0466868,1235.0,1.8599398,1.9392,1.429
-121.74,38.15,22.0,5.536232,0.9449275,1001.0,2.9014492,4.8173,1.158
-117.89,33.83,35.0,6.558242,0.9802198,1435.0,3.1538463,5.6276,2.008
-122.27,37.8,16.0,2.7458563,1.082873,800.0,2.2099447,2.0938,1.625
-118.23,34.13,37.0,4.314149,1.0215827,1088.0,2.6091127,2.975,2.445
-121.76,38.66,17.0,5.7327585,1.0603448,2866.0,3.088362,4.1997,1.334
-118.08,33.88,27.0,4.52451,0.9117647,1014.0,4.970588,3.825,1.595
-121.16,38.75,27.0,6.9459457,0.972973,315.0,2.837838,8.4882,2.766
-121.09,39.48,25.0,5.0454545,1.1333333,845.0,2.560606,1.5603,0.781
-122.47,37.73,52.0,7.4877195,0.97192985,936.0,3.2842104,5.9245,4.846
-117.22,32.87,14.0,4.4343433,1.0189394,1835.0,2.316919,3.35,1.71
-118.03,33.83,25.0,5.952849,1.0451866,1668.0,3.2770138,4.625,2.296
-117.38,34.11,32.0,4.8093796,1.0015129,1878.0,2.8411498,3.1375,1.012
-118.13,33.88,32.0,3.2301254,1.0711297,1981.0,2.0721757,2.2027,1.927
-121.91,36.6,35.0,6.416256,1.0098522,1110.0,2.7339902,5.5519,3.295
-122.39,40.64,13.0,5.3791046,1.0507463,1598.0,2.3850746,2.4141,0.787
-120.61,35.13,16.0,4.8944364,1.0285307,1777.0,2.53495,2.7301,1.904
-116.41,33.74,25.0,6.395349,1.2299742,910.0,2.351421,3.3639,1.688
-120.44,34.94,24.0,5.234177,1.0042194,1101.0,2.322785,3.1576,1.472
-118.34,34.06,52.0,6.140187,0.7943925,629.0,2.9392524,7.1669,5.00001
-122.01,39.21,50.0,5.1856675,1.2117264,781.0,2.543974,2.2679,0.691
-117.08,32.64,43.0,3.9880953,0.9126984,548.0,2.1746032,1.8672,1.458
-117.41,34.1,29.0,5.383399,0.9920949,776.0,3.0671937,3.1287,1.02
-118.18,33.82,43.0,4.1764708,0.9558824,167.0,2.4558823,4.25,2.075
-119.76,36.73,46.0,5.044944,1.0561798,854.0,3.1985018,1.8723,0.526
-118.19,33.81,23.0,2.5576408,1.0455765,804.0,2.155496,2.5833,1.813
-121.06,36.72,23.0,7.5961537,1.3461539,166.0,3.1923077,2.2132,1.0
-118.02,33.95,38.0,5.1917477,1.0339806,1138.0,2.762136,4.2917,1.689
-116.95,32.82,12.0,4.3858953,1.1362916,3112.0,2.4659271,2.5949,1.083
-122.46,37.71,44.0,3.7142856,1.0408163,339.0,3.4591837,2.483,2.143
-122.34,37.97,19.0,4.059891,1.0526316,1438.0,2.6098003,2.3382,1.207
-117.68,33.49,17.0,5.7974024,0.9662338,1072.0,2.7844155,4.245,2.145
-122.3,38.29,25.0,4.263158,1.0701754,1021.0,2.5588973,3.0404,1.421
-118.25,34.16,24.0,3.7425237,1.0474106,2690.0,1.9620715,2.5668,2.8
-121.25,39.17,9.0,5.6761365,1.0738636,411.0,2.3352273,2.125,1.518
-120.68,35.26,26.0,5.496774,1.016129,918.0,2.9612904,3.2464,2.08
-115.41,32.99,29.0,5.8814435,1.1340206,684.0,3.5257733,3.4038,1.078
-118.26,34.11,47.0,4.33996,1.0139165,1445.0,2.8727634,3.6667,2.109
-120.43,38.02,15.0,6.426295,1.1912351,655.0,2.6095617,3.6875,1.86
-115.56,32.78,35.0,6.2041883,1.0575917,615.0,3.2198954,4.6154,0.862
-120.06,36.94,19.0,4.7421055,0.9631579,700.0,3.6842105,2.2375,0.643
-117.05,33.13,17.0,6.4634147,1.0081301,1118.0,3.0298102,4.2813,1.699
-122.4,37.81,12.0,4.0389223,1.0449102,536.0,1.6047904,7.7852,2.5
-122.48,37.71,39.0,5.878049,1.0276423,1571.0,2.5544715,5.1149,3.142
-122.05,38.0,36.0,6.3002543,1.2010179,1213.0,3.086514,3.7333,1.364
-119.74,36.85,3.0,5.8633294,1.1929134,4432.0,2.4926884,3.9032,1.408
-118.2,33.93,40.0,4.6038184,0.99522674,1780.0,4.24821,3.4402,1.494
-117.06,32.61,23.0,3.8995216,0.8660287,1267.0,3.0311005,2.5625,1.311
-121.92,37.49,10.0,5.075716,1.0832196,3571.0,2.43588,5.1643,1.931
-120.38,40.98,27.0,6.7565217,1.6086956,318.0,2.7652173,1.6833,0.4
-117.11,32.67,43.0,3.6785715,1.0428572,445.0,3.1785715,1.6094,0.93
-117.17,32.82,24.0,4.088161,1.0503778,911.0,2.2947104,2.7401,1.981
-117.13,32.76,33.0,3.7435293,1.0847058,794.0,1.8682353,2.6333,1.4
-122.44,37.76,52.0,4.817352,1.0365297,816.0,1.8630137,3.9079,3.7
-118.42,34.01,33.0,5.354902,1.0490196,1280.0,2.509804,4.7083,4.201
-117.06,32.71,21.0,4.791774,0.9974293,1498.0,3.8508997,3.8194,1.257
-118.18,33.78,52.0,3.5542169,1.1475904,1046.0,3.1506023,1.5603,1.625
-122.63,38.96,20.0,5.485777,1.2625821,1072.0,2.345733,2.3083,0.602
-117.32,34.19,6.0,5.680851,0.9680851,999.0,5.31383,4.7222,1.09
-118.44,33.81,33.0,4.290011,1.0633727,1647.0,1.7690655,5.0106,5.00001
-121.64,36.74,30.0,6.0833335,1.0277778,1372.0,3.175926,4.1696,1.75
-116.29,33.72,5.0,7.625532,1.6170213,1097.0,2.3340425,3.1771,1.674
-121.65,38.03,28.0,6.5228214,1.439834,1095.0,2.2717843,3.4402,1.924
-118.12,33.84,37.0,5.68435,1.0132626,1047.0,2.7771883,4.4423,2.16
-122.44,37.73,46.0,5.0938835,1.0782361,1670.0,2.3755333,4.1932,2.692
-118.37,33.97,32.0,4.3387303,1.1534975,2725.0,1.7648964,3.3889,2.857
-118.39,34.07,33.0,4.5737705,1.1052631,2243.0,1.935289,4.2386,5.00001
-121.79,38.0,34.0,5.459364,1.0477031,1588.0,2.8056538,3.6118,1.247
-117.79,33.77,21.0,8.379576,1.0655106,1680.0,3.2369943,6.9014,4.39
-117.15,32.92,16.0,5.8132677,0.96314496,1482.0,3.6412776,4.9024,1.829
-121.76,37.33,5.0,5.958393,1.0315639,2435.0,3.4935439,5.6306,2.862
-118.11,33.83,37.0,6.6084657,1.068783,517.0,2.7354498,4.4196,2.231
-122.26,37.78,52.0,4.837963,1.1064814,496.0,2.2962964,2.9213,1.908
-117.79,33.75,26.0,7.922252,1.0107238,1074.0,2.8793566,9.3845,5.00001
-121.3,38.69,13.0,4.9421296,0.9930556,779.0,1.8032408,3.6995,1.349
-117.4,33.9,32.0,7.016667,0.98888886,508.0,2.8222222,3.6667,3.141
-118.19,33.99,38.0,4.608365,1.0342206,1129.0,4.2927756,2.6673,1.423
-118.14,33.95,37.0,6.1949153,1.029661,600.0,2.542373,5.2015,3.02
-117.26,32.85,30.0,7.904762,1.0800866,978.0,2.116883,8.2374,5.00001
-122.65,38.99,16.0,6.424925,1.427928,1596.0,2.3963964,1.8571,0.759
-118.08,34.09,33.0,4.824528,1.090566,1715.0,3.2358491,2.9196,2.088
-118.21,33.8,41.0,4.5,1.0035971,1053.0,3.7877698,3.2778,1.508
-120.48,39.66,32.0,11.572519,2.206107,304.0,2.3206108,1.8839,0.71
-121.93,41.86,28.0,6.158892,1.2172011,1908.0,2.781341,1.74,0.44
-122.38,37.18,52.0,7.9363637,1.4318181,941.0,4.2772727,3.3047,2.861
-122.43,37.76,52.0,4.898129,1.0415801,909.0,1.889813,4.2569,4.554
-124.1,40.9,18.0,5.2025805,1.0296774,1948.0,2.5135484,2.7321,0.926
-115.52,32.67,6.0,4.7205386,0.9781145,2807.0,4.7255893,2.0625,0.677
-122.7,38.44,35.0,4.2894735,1.1282895,822.0,2.7039473,3.2935,1.578
-117.03,32.69,8.0,6.3076925,1.0179487,1784.0,4.574359,4.5662,1.755
-117.28,33.66,15.0,5.496394,1.1153846,2513.0,3.0204327,2.6949,1.636
-117.65,34.07,35.0,4.2318106,1.1015228,1182.0,2.0,1.4464,1.132
-117.93,34.01,33.0,4.621333,0.9626667,1757.0,4.6853333,4.2266,1.538
-122.08,37.38,33.0,4.7693634,1.1342512,1496.0,2.5748708,3.4042,3.536
-118.44,34.26,28.0,3.675768,0.98293513,1377.0,4.699659,3.9167,1.539
-117.03,32.69,10.0,5.39521,0.97604793,698.0,4.179641,4.6648,1.561
-117.38,34.11,36.0,5.4436364,0.96,894.0,3.250909,3.3066,0.963
-119.26,36.3,18.0,5.590625,1.125,1540.0,2.40625,2.425,0.846
-117.88,33.84,33.0,6.2285714,0.96734697,906.0,3.6979592,5.1782,2.25
-117.13,33.15,15.0,5.746154,0.97692305,997.0,2.5564103,3.4833,1.932
-117.32,33.23,24.0,4.534271,1.0615114,982.0,1.7258348,1.6402,1.693
-120.16,34.61,17.0,4.2054796,0.8630137,434.0,1.9817351,3.0185,5.00001
-118.2,33.93,36.0,4.037288,1.1694915,1193.0,4.044068,2.5185,1.388
-122.17,39.31,35.0,5.8634453,1.1596639,1395.0,2.9306722,2.5625,0.627
-118.11,33.82,37.0,5.2417912,1.0298507,836.0,2.4955225,4.375,2.182
-118.35,33.93,33.0,3.6363637,1.0267379,2649.0,4.7219253,2.3375,1.706
-121.96,36.97,23.0,4.9417143,1.1817143,1844.0,2.1074286,3.0777,2.638
-117.13,32.92,16.0,5.529262,1.0152671,1460.0,3.7150128,4.2614,1.696
-120.82,37.51,17.0,6.5511813,0.996063,736.0,2.8976378,4.4083,1.658
-121.84,37.24,18.0,6.6679106,0.9402985,1803.0,3.363806,6.7836,2.741
-120.97,38.91,7.0,6.365103,1.0498533,1978.0,2.9002934,4.8311,1.722
-118.09,33.9,37.0,4.7396693,1.0661157,742.0,3.0661156,4.0461,1.535
-118.22,34.06,52.0,4.8,0.6,41.0,4.1,10.2264,1.125
-122.07,37.96,34.0,5.8546715,1.0034602,836.0,2.8927336,5.0172,1.971
-119.78,36.86,8.0,5.539936,1.0782747,1604.0,2.5623002,4.2071,1.283
-118.41,34.0,35.0,3.4592834,0.99348533,1026.0,3.3420196,2.7153,2.655
-122.53,37.96,35.0,4.609137,0.98477155,413.0,2.0964468,3.9917,2.908
-117.97,33.68,26.0,6.7053943,1.2116183,700.0,2.9045644,5.5105,2.321
-118.18,34.1,10.0,5.1680217,1.0785908,921.0,2.495935,4.875,2.004
-122.18,38.29,18.0,7.233333,0.9814815,658.0,2.437037,8.0113,3.93
-121.56,39.27,28.0,6.77907,1.1482558,1041.0,3.0261629,3.7125,1.168
-122.15,37.69,39.0,4.9850745,0.91940296,957.0,2.8567164,5.1312,1.836
-118.06,33.89,26.0,5.530067,0.9175947,1538.0,3.4253898,5.1104,2.205
-118.85,34.2,28.0,7.285714,1.0607142,848.0,3.0285714,6.7612,3.237
-120.51,37.32,13.0,4.525751,1.0236051,1108.0,2.3776824,2.3099,0.896
-121.57,39.13,30.0,5.0227275,1.1704545,413.0,4.693182,1.5694,0.579
-121.34,38.59,23.0,7.102439,1.0268292,1132.0,2.7609756,5.9174,2.259
-119.69,36.79,5.0,5.4324327,0.989605,1490.0,3.097713,4.0993,0.83
-121.99,38.26,18.0,7.675,1.05,368.0,3.0666666,6.0842,2.611
-118.52,34.27,36.0,6.4208417,1.0781564,1499.0,3.004008,5.5649,2.712
-118.38,34.21,42.0,4.525316,0.9177215,730.0,4.620253,3.8,1.695
-118.17,33.84,29.0,3.7075472,1.0786164,2515.0,1.9772012,2.726,2.087
-118.08,34.11,42.0,5.5621467,0.99717516,927.0,2.618644,5.5924,2.853
-117.87,34.13,32.0,5.228228,1.1201202,872.0,2.6186187,3.4219,1.945
-121.97,38.03,17.0,5.677966,1.05547,1939.0,2.9876733,3.7043,1.398
-118.49,34.27,33.0,6.009862,1.0394478,1578.0,3.112426,4.58,2.362
-122.06,38.26,36.0,5.6216216,0.9954955,672.0,3.0270271,3.3839,1.059
-118.32,34.18,44.0,4.6882353,1.1441176,832.0,2.447059,3.4,2.121
-121.97,37.55,17.0,4.1658206,1.0549915,3080.0,2.605753,3.168,1.894
-118.16,33.9,28.0,4.057239,1.037037,2399.0,4.0387206,2.7339,1.567
-118.05,34.12,20.0,6.1388235,1.1282353,2302.0,2.7082353,3.55,4.767
-116.68,33.16,26.0,5.617284,1.154321,1001.0,3.0895061,2.1797,1.563
-122.51,38.17,8.0,5.7094264,1.0835763,2808.0,2.728863,3.6392,2.463
-119.25,35.77,35.0,4.0653267,0.94974875,1449.0,3.6407034,1.6786,0.565
-122.26,37.88,52.0,5.9814324,1.0875331,823.0,2.183024,5.7979,4.153
-117.99,33.8,25.0,5.102729,1.0256822,2526.0,4.0545745,3.3281,1.808
-122.14,37.72,45.0,5.6330647,1.0201613,555.0,2.237903,2.983,2.027
-120.87,37.6,32.0,5.349299,1.067757,2742.0,3.203271,2.6619,0.862
-118.94,34.18,25.0,6.8937006,1.0,1713.0,3.3720472,5.5181,2.421
-122.19,37.75,19.0,4.2442307,1.0865384,1481.0,2.8480768,1.3194,0.814
-120.86,37.77,38.0,5.8082705,1.0488722,662.0,2.4887218,3.825,0.964
-117.59,33.88,13.0,3.9840097,1.0442804,2751.0,3.3837638,2.6111,1.07
-117.17,32.73,52.0,2.8531468,1.0,313.0,2.1888113,1.815,1.167
-122.15,37.75,44.0,5.8549848,1.205438,946.0,2.858006,3.225,1.358
-121.9,36.97,21.0,6.0970397,1.2351974,1420.0,2.3355262,4.4485,2.952
-121.89,37.3,46.0,6.2240567,1.0566038,938.0,2.212264,5.0662,3.316
-118.35,34.04,38.0,4.370968,1.0080645,1019.0,2.7392473,2.3687,1.468
-117.19,32.77,16.0,4.8777943,0.9985097,1305.0,1.9448584,4.1368,1.51
-118.2,34.05,42.0,2.9311533,1.0086058,2490.0,4.285714,2.02,1.472
-120.44,34.96,34.0,4.5882354,1.0441177,986.0,3.625,2.9167,1.042
-121.47,38.57,39.0,4.023669,1.0887574,589.0,1.7426035,2.1691,1.5
-117.94,33.73,24.0,5.8781514,1.0056022,2468.0,3.4565825,5.2563,2.114
-119.25,34.28,36.0,6.0652175,1.013587,951.0,2.5842392,5.2261,3.032
-118.53,34.44,19.0,6.2252064,1.0475206,1356.0,2.801653,5.1163,2.332
-120.83,37.52,6.0,5.745174,0.972973,773.0,2.984556,4.1859,1.5
-117.71,34.06,27.0,3.983146,1.1760299,1970.0,3.6891387,1.4722,0.913
-122.05,37.38,24.0,4.781065,0.9881657,1367.0,2.6962526,4.072,3.642
-121.2,37.81,26.0,5.486111,1.0277778,193.0,2.6805556,7.3718,2.125
-118.32,33.98,47.0,4.961039,1.0746753,864.0,2.8051949,1.9732,1.01
-121.78,38.68,43.0,4.609547,1.0367197,1855.0,2.2705019,2.3468,1.194
-118.56,34.19,35.0,5.5857143,1.0285715,425.0,3.0357144,5.4548,2.014
-117.99,34.08,11.0,4.517891,0.99246705,2307.0,4.3446326,3.5625,1.41
-117.34,33.46,14.0,6.256579,1.1118422,848.0,2.7894738,5.5395,2.733
-117.86,33.62,23.0,9.176811,1.1913043,1092.0,3.1652174,7.9367,5.00001
-122.43,37.79,52.0,3.9706876,1.0574971,1319.0,1.4870349,4.3986,5.00001
-118.47,34.04,32.0,4.1203966,1.0594901,1310.0,1.8555241,4.516,3.5
-117.1,32.75,20.0,4.0885415,1.2534722,1848.0,3.2083333,2.0036,0.992
-121.0,37.68,15.0,6.285714,0.9183673,408.0,2.0816326,6.9682,1.824
-116.99,32.74,17.0,6.3806586,1.1255144,1410.0,2.9012346,3.1771,1.899
-122.32,38.01,26.0,6.157258,0.9919355,1495.0,3.014113,4.6944,1.711
-117.13,32.77,30.0,4.281924,1.0779436,1098.0,1.8208956,2.8281,1.717
-122.18,37.73,43.0,4.8807015,1.0280702,855.0,3.0,2.5192,0.764
-121.71,39.25,37.0,6.3639455,1.0918367,806.0,2.7414966,4.0,1.014
-122.38,37.59,31.0,3.8730965,1.071066,1581.0,2.0063453,3.0744,4.577
-121.31,38.62,31.0,6.8289475,0.94298244,1121.0,2.4583333,6.244,2.4
-117.1,32.75,15.0,3.3874125,1.0825175,2120.0,2.965035,1.0617,0.924
-119.63,36.18,23.0,4.14,0.9,171.0,3.42,2.4286,1.0
-122.77,38.29,32.0,6.16763,1.0443159,1869.0,3.601156,3.2442,2.68
-122.63,38.23,45.0,4.7966104,1.0677966,1076.0,2.279661,3.0139,1.941
-117.05,33.03,14.0,5.2270436,1.0605448,1639.0,1.653885,4.5,2.222
-121.02,37.69,19.0,4.743781,0.98258704,2219.0,2.7599502,3.5208,1.45
-118.97,35.39,38.0,4.8095236,0.9818594,1547.0,3.5079365,2.774,0.595
-119.25,34.3,34.0,5.857143,1.0837438,445.0,2.1921182,4.8824,3.964
-118.22,33.88,35.0,3.2090032,1.0064309,1335.0,4.2926044,1.6574,1.025
-122.25,37.45,34.0,8.127371,0.9891599,927.0,2.512195,10.2811,5.00001
-122.33,37.95,45.0,4.2493296,0.8820375,981.0,2.6300268,3.0313,1.358
-117.39,34.13,9.0,6.0216217,1.0756757,1316.0,3.5567567,4.1632,1.198
-123.53,38.93,38.0,8.085308,1.6824645,506.0,2.3981042,2.5625,1.656
-118.15,34.19,48.0,4.853403,0.9424084,1126.0,2.947644,3.2216,1.616
-117.16,33.06,16.0,7.888889,1.1071428,770.0,3.0555556,5.8661,4.045
-122.24,37.47,40.0,5.240418,0.9407666,689.0,2.4006968,6.1244,3.088
-117.25,32.96,18.0,6.666201,1.0377095,1970.0,2.7513967,6.6199,4.062
-121.49,38.62,8.0,5.3064127,1.0384749,7463.0,2.5868285,3.9143,1.297
-118.3,34.05,31.0,2.7551343,1.1374408,2034.0,3.2132702,2.2684,1.938
-117.24,32.85,22.0,7.9068184,1.0181818,1252.0,2.8454545,10.0707,5.00001
-121.61,39.76,31.0,5.693208,1.1990632,1026.0,2.4028103,2.5428,0.85
-117.83,33.77,22.0,5.297491,1.1505376,1342.0,2.4050179,4.1151,2.032
-117.23,32.86,16.0,5.045181,1.0662651,604.0,1.8192772,5.2326,1.883
-122.05,37.97,16.0,3.1578948,0.5263158,65.0,3.4210527,6.1359,2.5
-119.86,34.41,24.0,2.967985,1.0922787,1630.0,3.0696797,1.24,3.25
-118.01,33.81,25.0,5.40118,1.0176991,809.0,2.3864307,4.5179,1.771
-117.06,33.02,17.0,7.339833,1.0835655,994.0,2.7688022,5.8966,2.615
-122.26,37.83,51.0,3.759036,1.248996,517.0,2.0763052,1.2852,1.5
-122.48,37.74,52.0,5.1696835,0.98416287,1211.0,2.739819,4.0208,3.231
-118.87,34.23,14.0,6.156749,1.0827286,1858.0,2.6966617,6.0145,2.871
-122.22,37.81,52.0,6.3993506,1.0876623,765.0,2.4837663,6.5217,2.737
